Order,Family,Subfamily,Genus,Specie,Observations,url
Anguilliformes,Anguillidae,,Anguilla,Anguilla bicolor,9,https://www.inaturalist.org/taxa/94107-Anguilla-bicolor
Anguilliformes,Anguillidae,,Anguilla,Anguilla borneensis,0,https://www.inaturalist.org/taxa/608073-Anguilla-borneensis
Anguilliformes,Anguillidae,,Anguilla,Anguilla celebesensis,0,https://www.inaturalist.org/taxa/372314-Anguilla-celebesensis
Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,374,https://www.inaturalist.org/taxa/123760-Anguilla-dieffenbachii
Anguilliformes,Anguillidae,,Anguilla,Anguilla interioris,0,https://www.inaturalist.org/taxa/372315-Anguilla-interioris
Anguilliformes,Anguillidae,,Anguilla,Anguilla japonica,30,https://www.inaturalist.org/taxa/122882-Anguilla-japonica
Anguilliformes,Anguillidae,,Anguilla,Anguilla labiata,1,https://www.inaturalist.org/taxa/608074-Anguilla-labiata
Anguilliformes,Anguillidae,,Anguilla,Anguilla luzonensis,0,https://www.inaturalist.org/taxa/372316-Anguilla-luzonensis
Anguilliformes,Anguillidae,,Anguilla,Anguilla malgumora,0,https://www.inaturalist.org/taxa/372313-Anguilla-malgumora
Anguilliformes,Anguillidae,,Anguilla,Anguilla marmorata,54,https://www.inaturalist.org/taxa/128424-Anguilla-marmorata
Anguilliformes,Anguillidae,,Anguilla,Anguilla megastoma,1,https://www.inaturalist.org/taxa/372317-Anguilla-megastoma
Anguilliformes,Anguillidae,,Anguilla,Anguilla mossambica,21,https://www.inaturalist.org/taxa/372318-Anguilla-mossambica
Anguilliformes,Anguillidae,,Anguilla,Anguilla nebulosa,0,https://www.inaturalist.org/taxa/94108-Anguilla-nebulosa
Anguilliformes,Anguillidae,,Anguilla,Anguilla obscura,1,https://www.inaturalist.org/taxa/338341-Anguilla-obscura
Anguilliformes,Anguillidae,,Anguilla,Anguilla reinhardtii,241,https://www.inaturalist.org/taxa/120523-Anguilla-reinhardtii
Anguilliformes,Anguillidae,,Anguilla,Anguilla rostrata,800,https://www.inaturalist.org/taxa/49219-Anguilla-rostrata
Anguilliformes,Anguillidae,,Neoanguilla,Neoanguilla nepalensis,0,https://www.inaturalist.org/taxa/608075-Neoanguilla-nepalensis
Anguilliformes,Chlopsidae,,Boehlkenchelys,Boehlkenchelys longidentata,0,https://www.inaturalist.org/taxa/611136-Boehlkenchelys-longidentata
Anguilliformes,Chlopsidae,,Catesbya,Catesbya pseudomuraena,0,https://www.inaturalist.org/taxa/611137-Catesbya-pseudomuraena
Anguilliformes,Chlopsidae,,Chilorhinus,Chilorhinus platyrhynchus,0,https://www.inaturalist.org/taxa/611138-Chilorhinus-platyrhynchus
Anguilliformes,Chlopsidae,,Chilorhinus,Chilorhinus suensonii,0,https://www.inaturalist.org/taxa/317051-Chilorhinus-suensonii
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis apterus,0,https://www.inaturalist.org/taxa/97555-Chlopsis-apterus
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis bicollaris,0,https://www.inaturalist.org/taxa/97556-Chlopsis-bicollaris
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis bicolor,0,https://www.inaturalist.org/taxa/131417-Chlopsis-bicolor
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis bidentatus,0,https://www.inaturalist.org/taxa/611139-Chlopsis-bidentatus
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis dentatus,0,https://www.inaturalist.org/taxa/317052-Chlopsis-dentatus
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis kazuko,0,https://www.inaturalist.org/taxa/97557-Chlopsis-kazuko
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis longidens,0,https://www.inaturalist.org/taxa/611140-Chlopsis-longidens
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis nanhaiensis,0,https://www.inaturalist.org/taxa/623706-Chlopsis-nanhaiensis
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis olokun,0,https://www.inaturalist.org/taxa/611141-Chlopsis-olokun
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis orientalis,0,https://www.inaturalist.org/taxa/623707-Chlopsis-orientalis
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis sagmacollaris,0,https://www.inaturalist.org/taxa/623708-Chlopsis-sagmacollaris
Anguilliformes,Chlopsidae,,Chlopsis,Chlopsis slusserorum,0,https://www.inaturalist.org/taxa/611142-Chlopsis-slusserorum
Anguilliformes,Chlopsidae,,Kaupichthys,Kaupichthys atronasus,0,https://www.inaturalist.org/taxa/611143-Kaupichthys-atronasus
