Order,Family,Subfamily,Genus,Specie,Observations,url
Perciformes,Pomacentridae,Pomacentrinae,Microspathodon,Microspathodon chrysurus,438.0,https://www.inaturalist.org/taxa/49753-Microspathodon-chrysurus
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion perideraion,407.0,https://www.inaturalist.org/taxa/134156-Amphiprion-perideraion
Cypriniformes,Cyprinidae,Leuciscinae,Squalius,Squalius squalus,399.0,https://www.inaturalist.org/taxa/113019-Squalius-squalus
Cypriniformes,Cyprinidae,Leuciscinae,Cyprinella,Cyprinella lutrensis,395.0,https://www.inaturalist.org/taxa/98905-Cyprinella-lutrensis
Cypriniformes,Cyprinidae,Ex-danioninae,Opsariichthys,Opsariichthys pachycephalus,392.0,https://www.inaturalist.org/taxa/613288-Opsariichthys-pachycephalus
Perciformes,Centrarchidae,,Micropterus,Micropterus punctulatus,388.0,https://www.inaturalist.org/taxa/105821-Micropterus-punctulatus
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis viridis,385.0,https://www.inaturalist.org/taxa/179880-Chromis-viridis
Cypriniformes,Cyprinidae,Leuciscinae,Rhinichthys,Rhinichthys cataractae,385.0,https://www.inaturalist.org/taxa/111654-Rhinichthys-cataractae
Perciformes,Pomacentridae,Pomacentrinae,Pomacentrus,Pomacentrus coelestis,380.0,https://www.inaturalist.org/taxa/132371-Pomacentrus-coelestis
Cypriniformes,Cyprinidae,Barbinae,Systomus,Systomus rubripinnis,366.0,https://www.inaturalist.org/taxa/613717-Systomus-rubripinnis
Cypriniformes,Cyprinidae,Barbinae,Acrossocheilus,Acrossocheilus paradoxus,338.0,https://www.inaturalist.org/taxa/128306-Acrossocheilus-paradoxus
Perciformes,Pomacentridae,Pomacentrinae,Microspathodon,Microspathodon dorsalis,329.0,https://www.inaturalist.org/taxa/105832-Microspathodon-dorsalis
Perciformes,Pomacentridae,Pomacentrinae,Mecaenichthys,Mecaenichthys immaculatus,327.0,https://www.inaturalist.org/taxa/513053-Mecaenichthys-immaculatus
Cypriniformes,Cyprinidae,Leuciscinae,Abramis,Abramis brama,312.0,https://www.inaturalist.org/taxa/92984-Abramis-brama
Perciformes,Centrarchidae,,Micropterus,Micropterus floridanus,308.0,https://www.inaturalist.org/taxa/355459-Micropterus-floridanus
Perciformes,Pomacentridae,Pomacentrinae,Pomacentrus,Pomacentrus moluccensis,308.0,https://www.inaturalist.org/taxa/181028-Pomacentrus-moluccensis
Cypriniformes,Cyprinidae,Cyprininae,Carassius,Carassius gibelio,306.0,https://www.inaturalist.org/taxa/424997-Carassius-gibelio
Cypriniformes,Cyprinidae,Leuciscinae,Telestes,Telestes muticellus,306.0,https://www.inaturalist.org/taxa/113862-Telestes-muticellus
Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,Dascyllus reticulatus,304.0,https://www.inaturalist.org/taxa/179872-Dascyllus-reticulatus
Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,Dascyllus aruanus,294.0,https://www.inaturalist.org/taxa/952775-Dascyllus-aruanus
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes leucostictus,292.0,https://www.inaturalist.org/taxa/180708-Stegastes-leucostictus
Cypriniformes,Cyprinidae,Leuciscinae,Nocomis,Nocomis micropogon,289.0,https://www.inaturalist.org/taxa/107072-Nocomis-micropogon
Perciformes,Pomacentridae,Pomacentrinae,Parma,Parma victoriae,286.0,https://www.inaturalist.org/taxa/108788-Parma-victoriae
Cypriniformes,Cyprinidae,Gobioninae,Gobio,Gobio gobio,283.0,https://www.inaturalist.org/taxa/101585-Gobio-gobio
Cypriniformes,Cyprinidae,Leuciscinae,Chrosomus,Chrosomus eos,278.0,https://www.inaturalist.org/taxa/97764-Chrosomus-eos
Cypriniformes,Cyprinidae,Tincinae,Tinca,Tinca tinca,278.0,https://www.inaturalist.org/taxa/114177-Tinca-tinca
Perciformes,Centrarchidae,,Micropterus,Micropterus treculii,271.0,https://www.inaturalist.org/taxa/105822-Micropterus-treculii
Cypriniformes,Cyprinidae,Alburninae,Alburnus,Alburnus albidus,270.0,https://www.inaturalist.org/taxa/93610-Alburnus-albidus
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis cyanea,270.0,https://www.inaturalist.org/taxa/97754-Chromis-cyanea
Cypriniformes,Cyprinidae,Leuciscinae,Notropis,Notropis heterodon,268.0,https://www.inaturalist.org/taxa/58622-Notropis-heterodon
Perciformes,Pomacentridae,Pomacentrinae,Neopomacentrus,Neopomacentrus bankieri,266.0,https://www.inaturalist.org/taxa/106835-Neopomacentrus-bankieri
Perciformes,Pomacentridae,Pomacentrinae,Parma,Parma unifasciata,264.0,https://www.inaturalist.org/taxa/509791-Parma-unifasciata
Perciformes,Centrarchidae,,Lepomis,Lepomis marginatus,260.0,https://www.inaturalist.org/taxa/104254-Lepomis-marginatus
Perciformes,Centrarchidae,,Centrarchus,Centrarchus macropterus,257.0,https://www.inaturalist.org/taxa/96911-Centrarchus-macropterus
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis notata,254.0,https://www.inaturalist.org/taxa/469793-Chromis-notata
Perciformes,Centrarchidae,,Lepomis,Lepomis punctatus,251.0,https://www.inaturalist.org/taxa/104256-Lepomis-punctatus
Cypriniformes,Cyprinidae,Leuciscinae,Pimephales,Pimephales vigilax,250.0,https://www.inaturalist.org/taxa/109538-Pimephales-vigilax
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis hypsilepis,246.0,https://www.inaturalist.org/taxa/447875-Chromis-hypsilepis
Cypriniformes,Cyprinidae,Leuciscinae,Cyprinella,Cyprinella spiloptera,245.0,https://www.inaturalist.org/taxa/98910-Cyprinella-spiloptera
Perciformes,Pomacentridae,Amphiprioninae,Premnas,Premnas biaculeatus,242.0,https://www.inaturalist.org/taxa/57753-Premnas-biaculeatus
Cypriniformes,Cyprinidae,Leuciscinae,Nocomis,Nocomis biguttatus,237.0,https://www.inaturalist.org/taxa/107069-Nocomis-biguttatus
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion melanopus,236.0,https://www.inaturalist.org/taxa/57741-Amphiprion-melanopus
Cypriniformes,Cyprinidae,Leuciscinae,Clinostomus,Clinostomus funduloides,235.0,https://www.inaturalist.org/taxa/97986-Clinostomus-funduloides
Perciformes,Pomacentridae,Pomacentrinae,Amblyglyphidodon,Amblyglyphidodon curacao,229.0,https://www.inaturalist.org/taxa/119053-Amblyglyphidodon-curacao
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion bicinctus,224.0,https://www.inaturalist.org/taxa/343249-Amphiprion-bicinctus
Cypriniformes,Cyprinidae,Gobioninae,Pseudorasbora,Pseudorasbora parva,222.0,https://www.inaturalist.org/taxa/118880-Pseudorasbora-parva
Cypriniformes,Cyprinidae,Leuciscinae,Nocomis,Nocomis leptocephalus,220.0,https://www.inaturalist.org/taxa/107071-Nocomis-leptocephalus
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes acapulcoensis,216.0,https://www.inaturalist.org/taxa/113101-Stegastes-acapulcoensis
Perciformes,Pomacentridae,Pomacentrinae,Amblyglyphidodon,Amblyglyphidodon aureus,216.0,https://www.inaturalist.org/taxa/134155-Amblyglyphidodon-aureus
Cypriniformes,Cyprinidae,Leuciscinae,Rhinichthys,Rhinichthys falcatus,211.0,https://www.inaturalist.org/taxa/111658-Rhinichthys-falcatus
Perciformes,Pomacentridae,Pomacentrinae,Plectroglyphidodon,Plectroglyphidodon lacrymatus,209.0,https://www.inaturalist.org/taxa/48558-Plectroglyphidodon-lacrymatus
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes partitus,208.0,https://www.inaturalist.org/taxa/128183-Stegastes-partitus
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes planifrons,206.0,https://www.inaturalist.org/taxa/49304-Stegastes-planifrons
Perciformes,Pomacentridae,Pomacentrinae,Neopomacentrus,Neopomacentrus cyanomos,201.0,https://www.inaturalist.org/taxa/358376-Neopomacentrus-cyanomos
Perciformes,Centrarchidae,,Lepomis,Lepomis humilis,200.0,https://www.inaturalist.org/taxa/104253-Lepomis-humilis
Perciformes,Centrarchidae,,Lepomis,Lepomis miniatus,198.0,https://www.inaturalist.org/taxa/104255-Lepomis-miniatus
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis multilineata,197.0,https://www.inaturalist.org/taxa/118681-Chromis-multilineata
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf abdominalis,191.0,https://www.inaturalist.org/taxa/49400-Abudefduf-abdominalis
Cypriniformes,Cyprinidae,Ex-danioninae,Parazacco,Parazacco spilurus,189.0,https://www.inaturalist.org/taxa/188026-Parazacco-spilurus
Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,Dascyllus albisella,188.0,https://www.inaturalist.org/taxa/121392-Dascyllus-albisella
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion chrysopterus,177.0,https://www.inaturalist.org/taxa/180381-Amphiprion-chrysopterus
Cypriniformes,Cyprinidae,Leuciscinae,Notropis,Notropis asperifrons,177.0,https://www.inaturalist.org/taxa/107205-Notropis-asperifrons
Cypriniformes,Cyprinidae,Leuciscinae,Notropis,Notropis shumardi,174.0,https://www.inaturalist.org/taxa/107261-Notropis-shumardi
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes nigricans,171.0,https://www.inaturalist.org/taxa/49922-Stegastes-nigricans
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion frenatus,169.0,https://www.inaturalist.org/taxa/57740-Amphiprion-frenatus
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis atripectoralis,161.0,https://www.inaturalist.org/taxa/181020-Chromis-atripectoralis
Cypriniformes,Cyprinidae,Barbinae,Barbus,Barbus plebejus,155.0,https://www.inaturalist.org/taxa/95319-Barbus-plebejus
Perciformes,Pomacentridae,Pomacentrinae,Dascyllus,Dascyllus abudafur,155.0,https://www.inaturalist.org/taxa/914304-Dascyllus-abudafur
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes arcifrons,154.0,https://www.inaturalist.org/taxa/57343-Stegastes-arcifrons
Cypriniformes,Cyprinidae,Leuciscinae,Ptychocheilus,Ptychocheilus oregonensis,152.0,https://www.inaturalist.org/taxa/111224-Ptychocheilus-oregonensis
Cypriniformes,Cyprinidae,Leuciscinae,Rhinichthys,Rhinichthys obtusus,150.0,https://www.inaturalist.org/taxa/84498-Rhinichthys-obtusus
Perciformes,Pomacentridae,Pomacentrinae,Plectroglyphidodon,Plectroglyphidodon dickii,149.0,https://www.inaturalist.org/taxa/204597-Plectroglyphidodon-dickii
Perciformes,Pomacentridae,Pomacentrinae,Acanthochromis,Acanthochromis polyacanthus,146.0,https://www.inaturalist.org/taxa/319335-Acanthochromis-polyacanthus
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes adustus,146.0,https://www.inaturalist.org/taxa/49923-Stegastes-adustus
Perciformes,Pomacentridae,Pomacentrinae,Neoglyphidodon,Neoglyphidodon nigroris,144.0,https://www.inaturalist.org/taxa/135284-Neoglyphidodon-nigroris
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis punctipinnis,143.0,https://www.inaturalist.org/taxa/97759-Chromis-punctipinnis
Cypriniformes,Cyprinidae,Ex-danioninae,Candidia,Candidia barbata,140.0,https://www.inaturalist.org/taxa/565373-Candidia-barbata
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis margaritifer,140.0,https://www.inaturalist.org/taxa/204605-Chromis-margaritifer
Perciformes,Pomacentridae,Pomacentrinae,Neoglyphidodon,Neoglyphidodon melas,138.0,https://www.inaturalist.org/taxa/132370-Neoglyphidodon-melas
Cypriniformes,Cyprinidae,Alburninae,Alburnus,Alburnus amirkabiri,131.0,https://www.inaturalist.org/taxa/612509-Alburnus-amirkabiri
Cypriniformes,Cyprinidae,Leuciscinae,Notropis,Notropis texanus,130.0,https://www.inaturalist.org/taxa/107268-Notropis-texanus
Cypriniformes,Cyprinidae,Leuciscinae,Chrosomus,Chrosomus erythrogaster,130.0,https://www.inaturalist.org/taxa/97765-Chrosomus-erythrogaster
Perciformes,Pomacentridae,Pomacentrinae,Pomacentrus,Pomacentrus vaiuli,130.0,https://www.inaturalist.org/taxa/135270-Pomacentrus-vaiuli
Perciformes,Pomacentridae,Pomacentrinae,Pomacentrus,Pomacentrus pavo,124.0,https://www.inaturalist.org/taxa/119717-Pomacentrus-pavo
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion polymnus,123.0,https://www.inaturalist.org/taxa/119430-Amphiprion-polymnus
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf septemfasciatus,120.0,https://www.inaturalist.org/taxa/337753-Abudefduf-septemfasciatus
Perciformes,Pomacentridae,Pomacentrinae,Chromis,Chromis ternatensis,120.0,https://www.inaturalist.org/taxa/181019-Chromis-ternatensis
Perciformes,Pomacentridae,Amphiprioninae,Amphiprion,Amphiprion percula,119.0,https://www.inaturalist.org/taxa/119391-Amphiprion-percula
Perciformes,Centrarchidae,,Enneacanthus,Enneacanthus gloriosus,119.0,https://www.inaturalist.org/taxa/99992-Enneacanthus-gloriosus
Perciformes,Centrarchidae,,Lepomis,Lepomis peltastes,118.0,https://www.inaturalist.org/taxa/358056-Lepomis-peltastes
Perciformes,Centrarchidae,,Micropterus,Micropterus henshalli,115.0,https://www.inaturalist.org/taxa/225143-Micropterus-henshalli
Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,Chrysiptera brownriggii,115.0,https://www.inaturalist.org/taxa/57339-Chrysiptera-brownriggii
Cypriniformes,Cyprinidae,Leuciscinae,Hesperoleucus,Hesperoleucus symmetricus,115.0,https://www.inaturalist.org/taxa/67610-Hesperoleucus-symmetricus
Perciformes,Pomacentridae,Pomacentrinae,Pomacentrus,Pomacentrus bankanensis,115.0,https://www.inaturalist.org/taxa/181026-Pomacentrus-bankanensis
Cypriniformes,Cyprinidae,Xenocyprinae,Hypophthalmichthys,Hypophthalmichthys molitrix,114.0,https://www.inaturalist.org/taxa/128274-Hypophthalmichthys-molitrix
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes diencaeus,113.0,https://www.inaturalist.org/taxa/128185-Stegastes-diencaeus
Cypriniformes,Cyprinidae,Leuciscinae,Notropis,Notropis potteri,112.0,https://www.inaturalist.org/taxa/107250-Notropis-potteri
Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,Chrysiptera taupou,111.0,https://www.inaturalist.org/taxa/181017-Chrysiptera-taupou
Perciformes,Pomacentridae,Pomacentrinae,Stegastes,Stegastes marginatus,110.0,https://www.inaturalist.org/taxa/154336-Stegastes-marginatus
Perciformes,Pomacentridae,Pomacentrinae,Amblyglyphidodon,Amblyglyphidodon leucogaster,108.0,https://www.inaturalist.org/taxa/181015-Amblyglyphidodon-leucogaster
Perciformes,Pomacentridae,Pomacentrinae,Pomacentrus,Pomacentrus sulfureus,108.0,https://www.inaturalist.org/taxa/119310-Pomacentrus-sulfureus
Cypriniformes,Cyprinidae,Barbinae,Barbus,Barbus barbus,107.0,https://www.inaturalist.org/taxa/95147-Barbus-barbus
Perciformes,Pomacentridae,Pomacentrinae,Dischistodus,Dischistodus melanotus,107.0,https://www.inaturalist.org/taxa/318321-Dischistodus-melanotus
