Order,Family,Subfamily,Genus,Specie,Observations,url
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon capistratus,519,https://www.inaturalist.org/taxa/52956-Chaetodon-capistratus
Salmoniformes,Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus nerka,516,https://www.inaturalist.org/taxa/69922-Oncorhynchus-nerka
Perciformes,Chaetodontidae,,Forcipiger,Forcipiger flavissimus,510,https://www.inaturalist.org/taxa/100990-Forcipiger-flavissimus
Cypriniformes,Cyprinidae,Leuciscinae,Semotilus,Semotilus corporalis,508,https://www.inaturalist.org/taxa/112459-Semotilus-corporalis
Cypriniformes,Cyprinidae,Leuciscinae,Cyprinella,Cyprinella venusta,504,https://www.inaturalist.org/taxa/98912-Cyprinella-venusta
Perciformes,Labridae,Corinae,Coris,Coris julis,499,https://www.inaturalist.org/taxa/50968-Coris-julis
Perciformes,Chaetodontidae,,Chaetodon,Chaetodon ornatissimus,486,https://www.inaturalist.org/taxa/52454-Chaetodon-ornatissimus
Cypriniformes,Cyprinidae,Leuciscinae,Luxilus,Luxilus chrysocephalus,485,https://www.inaturalist.org/taxa/104867-Luxilus-chrysocephalus
Perciformes,Labridae,Corinae,Thalassoma,Thalassoma lucasanum,481,https://www.inaturalist.org/taxa/49493-Thalassoma-lucasanum
Cypriniformes,Cyprinidae,Leuciscinae,Phoxinus,Phoxinus phoxinus,476,https://www.inaturalist.org/taxa/109315-Phoxinus-phoxinus
Cypriniformes,Cyprinidae,Squaliobarbinae,Ctenopharyngodon,Ctenopharyngodon idella,474,https://www.inaturalist.org/taxa/128500-Ctenopharyngodon-idella
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf troschelii,472,https://www.inaturalist.org/taxa/92989-Abudefduf-troschelii
Perciformes,Pomacentridae,Pomacentrinae,Abudefduf,Abudefduf sordidus,467,https://www.inaturalist.org/taxa/123922-Abudefduf-sordidus
Perciformes,Labridae,Corinae,Halichoeres,Halichoeres hortulanus,466,https://www.inaturalist.org/taxa/102045-Halichoeres-hortulanus
