Family,Count,Weight
Acanthuridae,12587,0.24844975268428038
Achiridae,152,20.573927875243665
Acipenseridae,300,10.424123456790124
Amiidae,796,3.928689745021403
Ammodytidae,271,11.539620062867295
Anguillidae,3057,1.022975805376852
Antennariidae,1309,2.3890275302040007
Aphredoderidae,331,9.447846033344522
Aplodactylidae,282,11.089493039138429
Apogonidae,1932,1.6186527106816961
Aracanidae,998,3.1335040451272915
Ariidae,1312,2.383564814814815
Arripidae,390,8.018556505223172
Atherinopsidae,1166,2.6820214725875102
Aulopidae,552,5.665284487385937
Aulostomidae,1676,1.865893220189163
Balistidae,5690,0.5496022912191629
Balitoridae,652,4.7963758236764376
Batrachoididae,1297,2.4111311002598588
Belonidae,851,3.67477912695304
Bothidae,871,3.5903984351745546
Caesionidae,626,4.995586321145427
Callionymidae,312,10.023195631528965
Carangidae,6248,0.5005180917152748
Catostomidae,3262,0.958687013193451
Centrarchidae,44960,0.06955598391986292
Centriscidae,126,24.819341563786008
Centropomidae,418,7.4814283182704235
Chaetodontidae,13959,0.22403016240683696
Channidae,674,4.639817562369491
Cheilodactylidae,3234,0.9669873336540004
Chironemidae,335,9.335035931453842
Cichlidae,5697,0.5489269856129607
Cirrhitidae,2539,1.2316805974939098
Clariidae,547,5.717069537544858
Clupeidae,2734,1.1438321276653391
Cobitidae,702,4.454753614012874
Congridae,371,8.429210342417889
Coryphaenidae,316,9.896319737458978
Cottidae,4629,0.6755750782106367
Cyclopteridae,166,18.838777331548417
Cyprinidae,33004,0.09475327345282503
Cyprinodontidae,1183,2.6434801665570897
Dactylopteridae,483,6.4746108427267846
Dinolestidae,436,7.172562011552837
Diodontidae,6217,0.5030138389958239
Echeneidae,564,5.544746519569214
Elassomatidae,191,16.372968780298624
Elopidae,333,9.391102213324436
Embiotocidae,792,3.9485316124205014
Engraulidae,386,8.101650355018231
Enoplosidae,1113,2.809736780805963
Ephippidae,1405,2.2257914854356136
Erythrinidae,222,14.086653319986654
Esocidae,3954,0.7909046628824069
Fistulariidae,1423,2.197636709091382
Fundulidae,3741,0.8359361232389835
Gadidae,259,12.074274274274273
Galaxiidae,652,4.7963758236764376
Gasterosteidae,2797,1.118068300692541
Gerreidae,555,5.634661327994661
Girellidae,1953,1.6012478428249037
Gobiesocidae,1040,3.0069586894586893
Gobiidae,6725,0.46501665978245904
Grammatidae,138,22.661137949543747
Haemulidae,4522,0.6915606008485266
Hemiramphidae,135,23.164718792866942
Hexagrammidae,942,3.31978454037902
Holocentridae,2169,1.441787476734457
Ictaluridae,7430,0.4208932755096954
Kyphosidae,4723,0.6621293747696457
Labridae,16020,0.19520830443427198
Lepisosteidae,3763,0.8310489069989468
Lethrinidae,1166,2.6820214725875102
Lobotidae,265,11.800894479385045
Lotidae,260,12.027834757834757
Lutjanidae,5723,0.5464331708958653
Megalopidae,814,3.841814541814542
Microdesmidae,406,7.702554278416347
Molidae,1296,2.4129915409236395
Monacanthidae,7644,0.4091100257766924
Monocentridae,262,11.936019225332203
Monodactylidae,940,3.326847911741529
Moronidae,2745,1.1392484652229644
Mullidae,5706,0.54806117017824
Muraenidae,7123,0.43903369886803834
Nemipteridae,575,5.438673107890499
Odacidae,838,3.731786440378326
Ophichthidae,187,16.723192711428005
Osmeridae,156,20.04639126305793
Osphronemidae,95,32.91828460038986
Ostraciidae,3681,0.8495618139193255
Paralichthyidae,803,3.8944421382777548
Pegasidae,155,20.175722819593787
Pempheridae,1107,2.824965706447188
Percidae,9124,0.34274846964456784
Pholidae,1215,2.5738576436518823
Pinguipedidae,678,4.612444007429258
Platycephalidae,962,3.2507661507661507
Plesiopidae,1037,3.0156577020607878
Pleuronectidae,481,6.501532301532301
Plotosidae,1090,2.869024804621135
Poeciliidae,7859,0.39791793320232055
Pomacanthidae,5209,0.6003526659698669
Pomacentridae,22846,0.13688335100398483
Pomatomidae,593,5.273586909000063
Priacanthidae,210,14.891604938271605
Rachycentridae,149,20.988168033805618
Salmonidae,16258,0.19235066041561305
Scaridae,8373,0.37349062905016567
Scatophagidae,174,17.972626649638144
Sciaenidae,5628,0.5556569006817763
Scombridae,983,3.1813194679929166
Scorpaenidae,6881,0.4544742097132738
Sebastidae,1176,2.659215167548501
Serranidae,9769,0.32011843965984615
Serrasalmidae,88,35.53678451178451
Siganidae,1082,2.890237557335524
Sillaginidae,338,9.252180582949814
Siluridae,196,15.955291005291006
Solenostomidae,682,4.585391549907679
Sparidae,9992,0.3129740829700798
Sphyraenidae,1903,1.6433195149958155
Stichaeidae,805,3.8847665056360707
Synanceiidae,168,18.614506172839505
Synbranchidae,225,13.898831275720164
Syngnathidae,13054,0.23956159315436165
Synodontidae,1092,2.863770180436847
Terapontidae,302,10.355089526612705
Tetraodontidae,8429,0.3710092581607589
Tetrarogidae,389,8.039169761020661
Trichiuridae,212,14.751118099231308
Triglidae,429,7.289596822930156
Umbridae,586,5.3365819744659335
Zanclidae,1966,1.5906597339964583
