Genus,Count,Weight
Gasterosteus,1777,0.5233006676103614
Geophagus,143,6.502834170235051
Gerres,555,1.6755050204389412
Girella,1953,0.47614197969462996
Gnathanodon,164,5.670154185022026
Gnathodentex,211,4.4071340585005325
Gobiesox,560,1.660545154185022
Gobio,184,5.0538330779544145
Gobius,1393,0.6675558408784008
Gramma,138,6.73844410393922
Grammistes,116,8.01642488227252
Gymnocephalus,140,6.642180616740088
Gymnomuraena,194,4.793326218266043
Gymnosarda,102,9.116718493564827
Gymnothorax,5200,0.1788279396814639
Haemulon,2328,0.39944385152217027
Halichoeres,2752,0.3379016302120684
Hemigymnus,598,1.5550255624475122
Hemiramphus,135,6.88818730624898
Hemitaurichthys,226,4.114625160812444
Heniochus,1405,0.6618542963299732
Herichthys,755,1.2316626309186918
Hesperoleucus,88,10.56710552663196
Heterandria,184,5.0538330779544145
Heteroconger,156,5.960931322715464
Heteroscarus,242,3.8425838278661666
Hexagrammos,250,3.7196211453744494
Hippocampus,8642,0.10760301855399355
Holacanthus,1437,0.6471157177060629
Holocentrus,561,1.6575851806481503
Hoplias,222,4.188762551097353
Hypentelium,547,1.70000966424792
Hypophthalmichthys,132,7.044737017754639
Hypoplectrodes,719,1.2933314135516165
Hypoplectrus,135,6.88818730624898
Hypsypops,759,1.2251716552616763
Ictalurus,3198,0.29077713769343727
Ictiobus,187,4.972755541944451
Idiotropiscis,469,1.9827404826089816
Iniistius,167,5.568295127806062
Istigobius,379,2.453575953413225
Johnrandallia,270,3.44409365312449
Kyphosus,1357,0.6852655020955138
Labidesthes,225,4.132912383749388
Lactophrys,918,1.012968721507203
Lactoria,419,2.219344358815304
Lagocephalus,128,7.264885049559472
Lagodon,1396,0.6661212652891206
Latropiscis,552,1.684611025984805
Leiostomus,420,2.2140602055800294
Lepisosteus,3514,0.2646287098302824
Lepomis,25853,0.035968950850717996
Leptocottus,451,2.061874249098919
Lethrinus,375,2.479747430249633
Liniparhomaloptera,263,3.5357615450327464
Lithognathus,306,3.038906164521609
Lobotes,265,3.5090765522400464
Lota,260,3.576558793629278
Lutjanus,4727,0.19672208300055263
Luxilus,1720,0.5406426083393095
Macolor,431,2.1575528685466643
Macropharyngodon,168,5.535150513950073
Mayaheros,814,1.1423897866629145
Mecaenichthys,415,2.2407356297436443
Megalops,814,1.1423897866629145
Melichthys,880,1.056710552663196
Menidia,636,1.4621152301000193
Menticirrhus,701,1.326541064684183
Meuschenia,2606,0.3568324199323148
Microcanthus,851,1.0927206655036572
Micropogonias,445,2.0896748007721624
Micropterus,14651,0.06347043112030662
Microspathodon,985,0.9440662805518907
Minytrema,213,4.365752518045128
Misgurnus,320,2.9059540198237888
Mola,1296,0.7175195110676021
Monacanthus,841,1.1057137768651752
Monodactylus,416,2.235349246018299
Monopterus,225,4.132912383749388
Monotaxis,580,1.603284976454504
Morone,2381,0.3905524092161329
Moxostoma,698,1.3322425305782413
Mulloidichthys,1554,0.5983946501567647
Mullus,594,1.5654971150565864
Muraena,638,1.4575317967768218
Mycteroperca,214,4.345351805343983
Myoxocephalus,236,3.940276637049205
Myrichthys,187,4.972755541944451
Myripristis,727,1.2790994310090953
Naso,2100,0.44281204111600586
Nemadactylus,164,5.670154185022026
Nemateleotris,242,3.8425838278661666
Neoglyphidodon,300,3.099684287812041
Neogobius,985,0.9440662805518907
Neoniphon,269,3.4568969752550642
Neoodax,298,3.120487538065813
Neopomacentrus,126,7.3802006852667645
Nocomis,1102,0.8438341981339494
Notemigonus,1097,0.8476802974873403
Notropis,1025,0.9072246696035242
Noturus,477,1.9494869734666924
Novaculichthys,375,2.479747430249633
Oblada,536,1.7348979222828589
Ocyurus,565,1.6458500643249776
Odonus,301,3.0893863333674827
Oligocottus,861,1.0800293685756241
Olisthops,298,3.120487538065813
Omegophora,158,5.885476495845648
Oncorhynchus,9420,0.09871606012140258
Ophiodon,464,2.00410622056813
Opsanus,687,1.3535739248087515
Opsariichthys,554,1.6785293977321523
Oreochromis,2430,0.38267707256938777
Orthopristis,324,2.8700780442704086
Osmerus,156,5.960931322715464
Ostorhinchus,1115,0.833995772505482
Ostracion,1696,0.5482932112875073
Oxycheilinus,450,2.066456191874694
Oxycirrhites,154,6.038346015218262
Oxylebius,228,4.078531957647423
Oxymonacanthus,201,4.626394459420957
Pachymetopon,407,2.284779573325829
Padogobius,147,6.325886301657227
Pagrus,18,51.66140479686735
Paracanthurus,114,8.157063915294845
Parachromis,139,6.689966088802967
Paracirrhites,1104,0.8423055129924025
Paralabrax,868,1.0713194543129174
Paralichthys,803,1.1580389618226803
Paraluteres,172,5.406426083393095
Paranthias,136,6.83753887017362
Parapercis,678,1.3715417202708147
Paraplesiops,311,2.990049152230265
Parapriacanthus,127,7.322088868847342
Parazacco,338,2.751199072022522
Pareques,146,6.369214290024742
Parma,1623,0.5729545818506545
Parupeneus,1687,0.5512183084431609
Pelmatolapia,219,4.246142860016494
Pempheris,980,0.948882945248584
Perca,3371,0.2758544308346521
Percina,766,1.2139755696391805
Periophthalmodon,202,4.603491516552537
Periophthalmus,441,2.1086287672190758
Pholis,989,0.940248014503147
Phoxinus,476,1.95358253433532
Phycodurus,1360,0.6837538870173621
Phyllopteryx,779,1.193716670530953
Pimephales,1802,0.5160406694470656
Platax,957,0.9716878645178813
Platichthys,274,3.3938149136628186
Platycephalus,823,1.1298970672461874
Plectorhinchus,1155,0.8051128020291016
Plectroglyphidodon,376,2.4731523572968412
Plectropomus,247,3.764798730136082
Plotosus,673,1.3817314804511327
Poecilia,1187,0.7834079918648799
Pogonias,522,1.7814277516161157
Pomacanthus,2879,0.32299593134547144
Pomacentrus,1329,0.699702999506104
Pomatomus,593,1.5681370764647762
Pomoxis,2360,0.3940276637049205
Porichthys,610,1.524434895645266
Premnas,315,2.952080274106706
Priacanthus,210,4.428120411160059
Prionotus,251,3.7048019376239534
Prionurus,864,1.0762792666014032
Pristiapogon,106,8.772691380600117
Pseudanthias,907,1.0252538989455484
Pseudobalistes,315,2.952080274106706
Pseudocaranx,540,1.722046826562245
Pseudogastromyzon,389,2.390502021448875
Pseudopleuronectes,207,4.492296069292813
Pseudorasbora,186,4.999490786793615
Pseudoxiphophorus,120,7.749210719530103
Pseudupeneus,186,4.999490786793615
Pteragogus,52,17.88279396814639
Pterapogon,74,12.566287653292058
Ptereleotris,164,5.670154185022026
Pterocaesio,136,6.83753887017362
Pterois,2800,0.3321090308370044
Pterophyllum,5,185.98105726872248
Ptychocheilus,166,5.601839074359111
Pungitius,229,4.060721774426255
Pygocentrus,88,10.56710552663196
Pygoplites,419,2.219344358815304
